"ID","Player","Team","Position","RkOv","Status","Age","Opponent","Score","%D","ADP","Ros","+/-"
"*03ojr*","Vladimir Guerrero Jr.","TOR","1B","59","Rut","26","","83.53","100","19.2","99%","0%"
"*03cag*","Kyle Schwarber","PHI","LF","60","Diarrhea","33","","83.49","100","14.9","99%","0%"
"*04pq4*","Kyle Bradish","BAL","SP","61","wes11","29","","83.48","100","84.9","99%","0%"
"*03qwa*","Phil Maton","CHC","RP","62","Skrey","32","","83.33","27","462.2","43%","0%"
"*03pjd*","Josh Naylor","SEA","1B","63","Swagga","28","","83.19","100","59","99%","0%"
"*0374m*","Tyler Rogers","TOR","RP","64","Boofers","35","","83.1","24","472.2","52%","0%"
"*043ia*","Adrian Morejon","SD","RP","65","Rut","27","","82.97","41","447.7","61%","0%"
"*05138*","Matt Brash","SEA","RP","66","BigJoe","27","","82.94","32","455.1","55%","0%"
"*05144*","Hunter Brown","HOU","SP","67","Swagga","27","","82.85","100","37.2","100%","0%"
"*031fj*","Gabe Speier","SEA","RP","68","JDM","30","","82.77","20","480","40%","0%"
"*051wv*","Pete Crow-Armstrong","CHC","CF","69","Diarrhea","23","","82.72","100","31.4","100%","0%"
"*01svq*","Manny Machado","SD","3B","70","Ferrante","33","","82.7","100","29.4","99%","0%"
"*04enz*","Robert Garcia","TEX","RP","71","Triz","29","","82.6","71","382.2","73%","0%"
"*02c68*","Trea Turner","PHI","SS","72","Ferrante","32","","82.42","100","32.3","99%","0%"
"*01spo*","Gerrit Cole","NYY","SP","73","Diarrhea","35","@SF Wed 8:05PM","82.19","100","297.6","98%","0%"
"*05xch*","Junior Caminero","TB","3B","74","BigJoe","22","","82.18","100","17.6","100%","0%"
"*03dc4*","Freddy Peralta","NYM","SP","75","Diarrhea","29","","82.04","100","57.7","99%","0%"
"*031cy*","Emilio Pagan","CIN","RP","76","Beefs","34","","81.96","100","231.5","94%","0%"
"*06mi0*","Bryan King","HOU","RP","77","FA","29","","81.87","17","484.5","41%","0%"
"*02hi7*","Kevin Gausman","TOR","SP","78","Gwon","35","","81.75","100","94.5","99%","0%"
"*041r1*","Jesus Luzardo","PHI","SP","79","BigJoe","28","","81.64","100","65.2","99%","0%"
"*04ggi*","Andrew Kittredge","BAL","RP","80","FA","35","","81.34","30","462","35%","0%"
"*05ylp*","Jared Koenig","MIL","RP","81","FA","32","","81.28","12","479.9","29%","0%"
"*04yie*","George Kirby","SEA","SP","82","Beefs","28","","81.14","100","72.8","99%","0%"
"*0316j*","Nick Pivetta","SD","SP","83","Ferrante","33","","81.13","100","84.5","99%","0%"
"*0260v*","Sonny Gray","BOS","SP","84","Triz","36","","80.93","100","105","99%","0%"
"*02z0e*","Yimi Garcia","TOR","RP","85","FA","35","","80.91","15","480.2","21%","0%"
"*05184*","Vinnie Pasquantino","KC","1B","86","Swagga","28","","80.88","100","70.9","99%","0%"
"*04auj*","Framber Valdez","DET","SP","87","Unks","32","","80.84","100","75.4","99%","0%"
"*0326s*","Ketel Marte","ARI","2B","88","Swagga","32","","80.51","100","27","99%","0%"
"*062k5*","Nick Kurtz","ATH","1B","89","Beefs","22","","80.32","100","18.4","100%","0%"
"*02btf*","Mookie Betts","LAD","SS","90","Triz","33","","80.01","100","50","99%","0%"
"*03dau*","Trevor Megill","MIL","RP","91","Diarrhea","32","","79.98","100","211.4","96%","0%"
"*05xu5*","Zach Neto","LAA","SS","92","Triz","25","","79.95","100","39.8","99%","0%"
"*06luc*","Jack Dreyer","LAD","SP,RP","93","FA","27","","79.94","17","482.8","35%","0%"
"*04ps7*","Joe Ryan","MIN","SP","94","DertyDer","29","","79.83","100","89.8","99%","0%"
"*02bqy*","Joe Musgrove","SD","SP","95","Gwon","33","","79.83","100","228.7","91%","0%"
"*03nuc*","Luis Castillo","SEA","SP","96","Gwon","33","","79.69","100","123.8","99%","0%"
"*02btx*","Tyler Glasnow","LAD","SP","97","Skrey","32","","79.46","100","114.9","99%","0%"
"*05y2l*","Emmet Sheehan","LAD","SP","98","Boofers","26","","79.43","100","143.9","98%","0%"
"*04e2u*","Brent Rooker","ATH","LF,RF,UT","99","Skrey","31","","79.29","100","40.8","99%","0%"
"*045qo*","Jazz Chisholm Jr.","NYY","2B,3B","100","Unks","28","@SF Wed 8:05PM","79.27","100","21.3","100%","0%"
"*03i81*","Reynaldo Lopez","ATL","SP","101","wes11","32","","79.13","95","355.1","80%","0%"
"*04355*","Yordan Alvarez","HOU","LF","102","Boofers","28","","79.09","100","36","99%","0%"
"*040b5*","Randy Arozarena","SEA","LF","103","DGreasy","31","","78.81","100","52","99%","0%"
"*05jpd*","Ian Seymour","TB","SP,RP","104","FA","27","","78.81","98","308.9","85%","0%"
"*06491*","Orion Kerkering","PHI","RP","105","FA","24","","78.77","18","487.9","44%","0%"
"*01vxp*","Brooks Raley","NYM","RP","106","FA","37","","78.69","10","478.5","13%","0%"
"*04naz*","Tyler Holton","DET","SP,RP","107","FA","29","","78.67","14","480.6","30%","0%"
"*03qju*","Garrett Cleavinger","TB","RP","108","Ferrante","31","","78.52","32","452.8","45%","0%"
"*041pz*","Pete Alonso","BAL","1B","109","DGreasy","31","","78.45","100","25.4","99%","0%"
"*062ob*","Jose Ferrer","SEA","RP","110","FA","26","","78.25","37","459.1","42%","0%"
"*02jh6*","Eugenio Suarez","CIN","3B","111","Boofers","34","","78.13","100","68.6","99%","0%"
"*041vm*","Dylan Lee","ATL","RP","112","DertyDer","31","","77.97","16","486","26%","0%"
"*02bq7*","Robert Stephenson","LAA","RP","113","wes11","33","","77.94","31","451.3","28%","0%"
"*04pst*","Jarren Duran","BOS","LF,CF","114","Triz","29","","77.84","100","61.3","100%","0%"
"*03dpg*","Kevin Ginkel","ARI","RP","115","Swagga","31","","77.73","25","462.4","31%","0%"
"*02mwm*","Matt Olson","ATL","1B","116","BShit","31","","77.71","100","32.3","99%","0%"
"*02n4s*","Matthew Boyd","CHC","SP","117","Rut","35","","77.57","100","200.8","96%","0%"
"*03qo0*","Pete Fairbanks","MIA","RP","118","BShit","32","","77.51","100","225.6","94%","0%"
"*01svz*","Kenley Jansen","DET","RP","119","wes11","38","","77.47","100","251.8","92%","0%"
"*04qk8*","CJ Abrams","WSH","SS","120","wes11","25","","77.36","100","71.8","99%","0%"
"*041am*","Lucas Erceg","KC","RP","121","DGreasy","30","","77.32","23","474.9","46%","0%"
"*04pmb*","Kris Bubic","KC","SP","122","DGreasy","28","","77.23","100","198.8","97%","0%"
"*025dn*","Christian Yelich","MIL","LF","123","Swagga","34","","77.16","100","82.5","99%","0%"
"*03deg*","Justin Steele","CHC","SP","124","Diarrhea","30","","77.15","97","341.4","89%","0%"
"*04pbq*","Geraldo Perdomo","ARI","SS","125","Unks","26","","76.94","100","60.5","99%","0%"
"*04b00*","Brice Turang","MIL","2B","126","Ferrante","26","","76.77","100","39.6","99%","0%"
"*03mnq*","Carlos Estevez","KC","RP","127","Unks","33","","76.71","100","169.6","97%","0%"
"*02i2k*","Byron Buxton","MIN","CF","128","Skrey","32","","76.65","100","63.5","99%","0%"
"*03120*","Cody Bellinger","NYY","LF,CF,RF","129","DertyDer","30","@SF Wed 8:05PM","76.62","100","70.8","99%","0%"
"*02c5l*","Luke Weaver","NYM","RP","130","Triz","32","","76.54","39","449.3","58%","0%"
"*03et8*","Ranger Suarez","BOS","SP","131","Swagga","30","","76.48","100","159.7","99%","0%"
"*0423e*","Anthony Bender","MIA","RP","132","FA","31","","76.45","8","477.2","18%","0%"
"*04pr1*","Steven Kwan","CLE","LF","133","DertyDer","28","","76.18","100","136.4","99%","0%"
"*025he*","George Springer","TOR","LF,CF,RF","134","BigJoe","36","","76.17","100","83.2","99%","0%"
"*041wv*","Michael King","SD","SP","135","BigJoe","30","","76.09","100","145.8","99%","0%"
"*041rj*","JoJo Romero","STL","RP","136","Unks","29","","76.04","42","438.2","57%","0%"
"*05ym7*","Fernando Cruz","NYY","RP","137","Rut","35","@SF Wed 8:05PM","75.97","22","484.1","36%","0%"
"*0512m*","Ryan Pepiot","TB","SP","138","Beefs","28","","75.82","100","129.5","99%","0%"
"*0512v*","Michael Harris II","ATL","CF","139","DertyDer","25","","75.81","100","103.4","99%","0%"
"*030uc*","Rafael Devers","SF","1B","140","Gwon","29","NYY Wed 8:05PM","75.73","100","37.5","99%","0%"
"*01fh9*","Bryce Harper","PHI","1B","141","Rut","33","","75.6","100","37.9","99%","0%"
"*05rat*","James Wood","WSH","LF","142","Boofers","23","","75.38","100","28.8","100%","0%"
"*04pkr*","Nico Hoerner","CHC","2B","143","DertyDer","28","","75.34","100","90.8","99%","0%"
"*02bq2*","Brandon Nimmo","TEX","LF","144","Rut","32","","75.31","100","104.4","99%","0%"
"*041ps*","Nick Lodolo","CIN","SP","145","Swagga","28","","74.96","100","138.6","99%","0%"
"*060pm*","Wyatt Langford","TEX","LF,CF","146","Unks","24","","74.75","100","44.1","100%","0%"
"*05y23*","Tanner Bibee","CLE","SP","147","Beefs","27","","74.64","100","161.9","99%","0%"
"*03duu*","Ryan Thompson","ARI","RP","148","FA","33","","74.56","11","478.7","13%","0%"
"*04z6m*","Agustin Ramirez","MIA","C","149","BShit","24","","74.55","100","112.3","99%","0%"
"*02iug*","Michael Wacha","KC","SP","150","FA","34","","74.54","99","283.4","83%","0%"
"*01cgo*","Freddie Freeman","LAD","1B","151","wes11","36","","74.43","100","55","99%","0%"
"*03dfa*","Tanner Scott","LAD","RP","152","BShit","31","","74.3","62","431.4","64%","0%"
"*04ppj*","Jeremy Pena","HOU","SS","153","JDM","28","","74.29","100","177.5","99%","0%"
"*05ge9*","Shota Imanaga","CHC","SP","154","Skrey","32","","74.13","100","170.2","99%","0%"
"*05aoc*","Eury Perez","MIA","SP","155","Gwon","22","","74.02","100","97.3","99%","0%"
"*02hfr*","Caleb Thielbar","CHC","RP","156","FA","39","","73.95","6","471.7","15%","0%"
"*041qo*","Zac Gallen","ARI","SP","157","Diarrhea","30","","73.9","100","178.7","98%","0%"
"*02w7p*","Alex Bregman","CHC","3B","158","BShit","31","","73.86","100","82.4","99%","0%"
"*05mre*","Spencer Strider","ATL","SP","159","Unks","27","","73.79","100","83.1","99%","0%"
"*03yrz*","William Contreras","MIL","C","160","JDM","28","","73.54","100","63.7","99%","0%"
"*05gx5*","Jose Corniell","TEX","SP,RP","161","FA","22","","73.46","8","476.3","26%","0%"
"*04ali*","Edward Cabrera","CHC","SP","162","wes11","27","","73.45","100","189.9","98%","0%"
"*03atq*","Willy Adames","SF","SS","163","Ferrante","30","NYY Wed 8:05PM","73.38","100","91.8","99%","0%"
"*024m0*","Jose Altuve","HOU","2B,LF","164","BigJoe","35","","73.36","100","97.3","99%","0%"
"*02mw6*","Corey Seager","TEX","SS","165","Skrey","31","","73.31","100","85.3","99%","0%"
"*04ej3*","Riley OBrien","STL","RP","166","DertyDer","31","","73.13","75","406.4","53%","0%"
"*04mjn*","Eduard Bazardo","SEA","RP","167","FA","30","","72.83","12","481.1","19%","0%"
"*04o4s*","Shea Langeliers","ATH","C","168","DertyDer","28","","72.82","100","69.8","99%","0%"
"*03ql5*","Ryan Helsley","BAL","RP","169","Beefs","31","","72.78","100","193.9","96%","0%"
"*05u6q*","Cam Schlittler","NYY","SP","170","wes11","25","@SF Wed 8:05PM","72.68","100","138.2","99%","0%"
"*03df2*","Dylan Cease","TOR","SP","171","BShit","30","","72.61","100","69.7","99%","0%"
"*04puc*","Bennett Sousa","HOU","RP","172","FA","30","","72.53","6","475.2","15%","0%"
"*02mw3*","Christian Walker","HOU","1B","173","Unks","34","","72.48","100","167.3","95%","0%"
"*04prt*","Lawrence Butler","ATH","CF,RF","174","Ferrante","25","","72.39","100","128.8","99%","0%"
"*031bl*","Kyle Finnegan","DET","RP","175","FA","34","","72.36","67","423.3","60%","0%"
"*041rf*","Shane Bieber","TOR","SP","176","JDM","30","","72.28","100","312.3","92%","0%"
"*050ok*","Yennier Cano","BAL","RP","177","FA","32","","72.22","6","470.9","17%","0%"
"*05g3x*","Maikel Garcia","KC","2B,3B,SS","178","JDM","26","","72.18","100","65.8","99%","0%"
"*02c47*","Shawn Armstrong","CLE","RP","179","FA","35","","72.17","17","483.4","25%","0%"
"*04t9b*","Michael Busch","CHC","1B","180","Boofers","28","","72.15","100","99.8","100%","0%"
"*041z3*","John Schreiber","KC","RP","181","FA","32","","72.15","4","467.1","14%","0%"
"*05tq1*","Spencer Schwellenbach","ATL","SP","182","DGreasy","25","","72.12","81","407.7","89%","0%"
"*04c0o*","Jose Soriano","LAA","SP","183","FA","27","","72.11","100","266","85%","0%"
"*0425t*","Bailey Ober","MIN","SP","184","DertyDer","30","","72.1","100","262.1","88%","0%"
"*065ji*","Jakob Marsee","MIA","LF,CF","185","JDM","24","","71.98","100","124.4","99%","0%"
"*03ae8*","Dansby Swanson","CHC","SS","186","Beefs","32","","71.87","100","135.4","97%","0%"
"*041e3*","Braxton Garrett","MIA","SP","187","FA","28","","71.85","70","427","62%","0%"
"*02bqh*","Trevor Story","BOS","SS","188","Diarrhea","33","","71.83","100","160.2","97%","0%"
"*041qb*","Bo Bichette","NYM","SS","189","Rut","28","","71.59","100","95.2","99%","0%"
"*0512q*","Justin Slaten","BOS","RP","190","FA","28","","71.59","10","480.8","18%","0%"
"*03poq*","Tony Santillan","CIN","RP","191","Triz","28","","71.49","35","454.3","52%","0%"
"*04yk2*","Spencer Torkelson","DET","1B","192","Diarrhea","26","","71.48","100","137.2","99%","0%"
"*060eu*","Ben Joyce","LAA","RP","193","FA","25","","71.28","24","469.3","52%","0%"
"*03pje*","Taylor Ward","BAL","LF","194","BShit","32","","71.24","100","114.3","98%","0%"
"*051c3*","Andrew Nardi","MIA","RP","195","FA","27","","71.24","5","471.5","8%","0%"
"*04tji*","Edwin Uceta","TB","RP","196","BShit","28","","71.2","78","400.9","63%","0%"
"*04q08*","Kyle Leahy","STL","RP","197","FA","28","","71.19","38","480.8","32%","0%"
"*04nb2*","Riley Greene","DET","LF,CF,RF,UT","198","BShit","25","","71.15","100","65","100%","0%"
"*05ua7*","Jackson Merrill","SD","CF","199","Unks","22","","71.14","100","71.2","100%","0%"
"*02hj7*","Merrill Kelly","ARI","SP","200","Boofers","37","","71.13","100","216.2","92%","0%"
"*03as0*","Joe Jimenez","ATL","RP","201","FA","31","","71.13","3","467.4","11%","0%"
"*066er*","Grant Taylor","CHW","RP","202","Beefs","23","","71.11","84","386.4","75%","0%"
"*05ycf*","Noah Cameron","KC","SP","203","Rut","26","","71.1","100","223","95%","0%"
"*02c2r*","Carlos Rodon","NYY","SP","204","BShit","33","@SF Wed 8:05PM","71.06","100","241.4","96%","0%"
"*05gtn*","Tyler Soderstrom","ATH","1B,LF","205","Beefs","24","","71.03","100","85.8","100%","0%"
"*0658b*","Jonah Tong","NYM","SP","206","FA","22","","71.01","94","335.3","87%","0%"
"*03nmw*","Ian Happ","CHC","LF","207","Gwon","31","","70.99","100","112.7","98%","0%"
"*03qxr*","Cole Sands","MIN","RP","208","FA","28","","70.97","18","480","20%","0%"
"*03fi0*","Ozzie Albies","ATL","2B","209","Rut","29","","70.87","100","141.1","99%","0%"
"*05jq2*","Andrew Abbott","CIN","SP","210","Swagga","26","","70.68","100","197.2","98%","0%"
"*05u9z*","Roman Anthony","BOS","LF,CF,RF,UT","211","Swagga","21","","70.59","100","40.1","100%","0%"
"*01u75*","Salvador Perez","KC","C,1B","212","Unks","35","","70.32","100","129.1","98%","0%"
"*03mew*","Luis Arraez","SF","1B,2B","213","Skrey","28","NYY Wed 8:05PM","70.17","100","270.8","92%","0%"
"*02xic*","Teoscar Hernandez","LAD","RF","214","Diarrhea","33","","70.17","100","117.8","98%","0%"
"*041tl*","Matt Festa","CLE","RP","215","FA","32","","70.1","2","466.4","6%","0%"
"*02bx4*","Clay Holmes","NYM","SP","216","Diarrhea","32","","70.06","100","278","87%","0%"
"*04cd5*","MacKenzie Gore","TEX","SP","217","Boofers","27","","70.01","100","148.8","99%","0%"
"*0569p*","Coleman Crow","MIL","SP","218","FA","25","","69.88","3","466.8","23%","0%"
"*04aee*","Jo Adell","LAA","CF,RF","219","Triz","26","","69.82","100","128.8","98%","0%"
"*04k0w*","Camilo Doval","NYY","RP","220","Gwon","28","@SF Wed 8:05PM","69.67","43","454.1","59%","0%"
"*05zh9*","Luke Keaschall","MIN","2B","221","Beefs","23","","69.66","100","112","99%","0%"
"*03pom*","Austin Riley","ATL","3B","222","DGreasy","28","","69.66","100","58.7","99%","0%"
"*05u2v*","Hunter Goodman","COL","C","223","BigJoe","26","","69.45","100","89.4","100%","0%"
"*02n0v*","Hoby Milner","CHC","RP","224","FA","35","","69.44","2","463.5","8%","0%"
"*04b02*","Seiya Suzuki","CHC","LF,RF","225","Beefs","31","","69.34","100","80.7","99%","0%"
"*03m6o*","Yandy Diaz","TB","1B","226","DertyDer","34","","69.29","100","139.8","97%","0%"
"*03zlh*","Oneil Cruz","PIT","CF","227","Beefs","27","","69.29","100","78.3","99%","0%"
"*05jr0*","Alec Burleson","STL","1B,LF,RF","228","Swagga","27","","69.23","100","205.1","95%","0%"
"*03d6w*","Jack Flaherty","DET","SP","229","Diarrhea","30","","69.23","100","188.5","97%","0%"
"*05gsi*","Ceddanne Rafaela","BOS","2B,CF","230","Skrey","25","","69.22","100","154.9","98%","0%"
"*05gww*","Cade Horton","CHC","SP","231","Ferrante","24","","69.19","100","175.6","99%","0%"
"*05yo5*","Ben Rice","NYY","C,1B","232","Boofers","27","@SF Wed 8:05PM","69.15","100","77.1","100%","0%"
"*04ru5*","Andy Pages","LAD","LF,CF,RF","233","DGreasy","25","","69.11","100","135.3","98%","0%"
"*04ak5*","Trevor Rogers","BAL","SP","234","Skrey","28","","68.8","100","142.2","99%","0%"
"*0421q*","Greg Weissert","BOS","RP","235","FA","31","","68.79","3","466.7","12%","0%"
"*04pko*","Grayson Rodriguez","LAA","SP","236","Skrey","26","","68.77","100","278","93%","0%"
"*061yu*","Jacob Misiorowski","MIL","SP","237","Skrey","23","","68.72","100","100.5","99%","0%"
"*04afl*","Brendon Little","TOR","RP","238","Swagga","29","","68.7","10","468.9","36%","0%"
"*01ucb*","Drew Pomeranz","LAA","RP","239","FA","37","","68.69","16","484.5","13%","0%"
"*0524l*","Yainer Diaz","HOU","C","240","Ferrante","27","","68.66","99","275.8","95%","0%"
"*03ann*","Jeff Hoffman","TOR","RP","241","BigJoe","33","","68.66","100","202.3","95%","0%"
"*03qto*","Evan Phillips","LAD","RP","242","FA","31","","68.61","2","464.6","18%","0%"
"*04ee8*","Heliot Ramos","SF","LF","243","JDM","26","NYY Wed 8:05PM","68.43","100","175.4","97%","0%"
"*04p10*","Bryson Stott","PHI","2B,SS","244","wes11","28","","68.42","100","161.2","95%","0%"
"*0318i*","Justin Topa","MIN","RP","245","FA","35","","68.35","16","481.7","10%","0%"
"*04tjl*","Otto Lopez","MIA","2B,SS","246","Triz","27","","68.29","99","317.6","87%","0%"
"*025j1*","Robbie Ray","SF","SP","247","Diarrhea","34","NYY Wed 8:05PM","68.29","100","154.4","97%","0%"
"*025gb*","Xander Bogaerts","SD","SS","248","BigJoe","33","","68.22","100","313.9","89%","0%"
"*02j77*","Chris Martin","TEX","RP","249","FA","39","","68.19","19","471.9","20%","0%"
"*02f9m*","Jakob Junis","TEX","RP","250","FA","33","","68.12","4","469.4","7%","0%"
"*0622t*","Jacob Wilson","ATH","SS","251","Swagga","23","","68.02","100","192.6","99%","0%"
"*05y4b*","Caleb Durbin","BOS","2B,3B","252","wes11","26","","67.94","100","223.4","92%","0%"
"*03ppa*","A.J. Minter","NYM","RP","253","FA","32","","67.92","8","472.6","17%","0%"
"*03sef*","Seth Lugo","KC","SP","254","Ferrante","36","","67.69","99","293.3","82%","0%"
"*0414g*","Luis Garcia Jr.","WSH","2B","255","FA","25","","67.51","98","329.1","85%","0%"
"*04aq4*","Adolis Garcia","PHI","RF","256","Boofers","33","","67.5","100","203.3","92%","0%"
"*031d4*","Zack Littell","WSH","SP","257","FA","30","","67.48","87","424","64%","0%"
"*05rb1*","Sal Frelick","MIL","CF,RF","258","Rut","25","","67.36","100","202.9","95%","0%"
"*03e5m*","Bryan Reynolds","PIT","RF","259","DGreasy","31","","67.29","100","163.8","96%","0%"
"*05h2u*","Jared Jones","PIT","SP","260","Skrey","24","","67.24","86","388.4","87%","0%"
"*005m0*","David Robertson","(N/A)","RP","261","FA","40","","67.08","1","462.4","2%","0%"
"*043r7*","Caleb Ferguson","CIN","RP","262","FA","29","","66.93","2","464.3","7%","0%"
"*0312g*","Tyler Mahle","SF","SP","263","BShit","31","NYY Wed 8:05PM","66.82","97","345.4","72%","0%"
"*04n8z*","Xavier Edwards","MIA","2B,SS","264","Unks","26","","66.66","100","175.6","97%","0%"
"*05y7s*","Nolan McLean","NYM","SP","265","Swagga","24","","66.65","100","111.4","99%","0%"
"*04a2t*","Kodai Senga","NYM","SP","266","Gwon","33","","66.6","100","278.1","92%","0%"
"*03pov*","Brady Singer","CIN","SP","267","FA","29","","66.48","100","236.2","91%","0%"
"*02i3o*","Aaron Nola","PHI","SP","268","Diarrhea","32","","66.47","100","187","96%","0%"
"*045gu*","TJ Friedl","CIN","CF","269","FA","30","","66.44","100","216.2","88%","0%"
"*047l7*","Luis Robert Jr.","NYM","CF","270","wes11","28","","66.4","100","121.6","98%","0%"
"*03oh0*","Willson Contreras","BOS","1B","271","Gwon","33","","66.36","100","179.8","96%","0%"
"*05rik*","Bubba Chandler","PIT","SP","272","Diarrhea","23","","66.33","100","162.2","99%","0%"
"*0630d*","Drake Baldwin","ATL","C","273","Swagga","24","","66.23","100","132.3","99%","0%"
"*05ybv*","Jackson Holliday","BAL","2B,SS,UT","274","Gwon","22","","66.22","100","301.3","98%","0%"
